id,source,vulnerability,description,recommendation,url
98,arXiv Research,Web Application Weakness Ontology Based on Vulnerability Data,"Web applications are becoming more ubiquitous. All manner of physical devices are now connected and often have a variety of web applications and web-interfaces. This proliferation of web applications has been accompanied by an increase in reported software vulnerabilities. The objective of this analysis of vulnerability data is to understand the current landscape of reported web application flaws. Along those lines, this work reviews ten years (2011 - 2020) of vulnerability data in the National Vulnerability Database. Based on this data, most common web application weaknesses are identified and their profiles presented. A weakness ontology is developed to capture the attributes of these weaknesses. These include their attack method and attack vectors. Also described is the impact of the weaknesses to software quality attributes. Additionally, the technologies that are susceptible to each weakness are presented, they include programming languages, frameworks, communication protocols, and data formats.",Review academic findings for mitigation strategies.,http://arxiv.org/abs/2209.08067v1
99,arXiv Research,Dynamic Vulnerability Criticality Calculator for Industrial Control Systems,"The convergence of information and communication technologies has introduced new and advanced capabilities to Industrial Control Systems. However, concurrently, it has heightened their vulnerability to cyber attacks. Consequently, the imperative for new security methods has emerged as a critical need for these organizations to effectively identify and mitigate potential threats. This paper introduces an innovative approach by proposing a dynamic vulnerability criticality calculator. Our methodology encompasses the analysis of environmental topology and the effectiveness of deployed security mechanisms, coupled with the utilization of the Common Vulnerability Scoring System framework to adjust detected vulnerabilities based on the specific environment. Moreover, it evaluates the quantity of vulnerabilities and their interdependencies within each asset. Additionally, our approach integrates these factors into a comprehensive Fuzzy Cognitive Map model, incorporating attack paths to holistically assess the overall vulnerability score. To validate the efficacy of our proposed method, we present a relative case study alongside several modified scenarios, demonstrating its effectiveness in practical applications.",Review academic findings for mitigation strategies.,http://arxiv.org/abs/2404.16854v1
100,arXiv Research,AXE: Grey-Box Exploitability Confirmation for Localized Vulnerability Reports,"Vulnerability detection tools are widely adopted in software projects, yet they often overwhelm maintainers with false positives and non-actionable reports. Automated exploitation systems can help validate these reports; however, existing approaches typically operate in isolation from detection pipelines, failing to leverage readily available metadata such as vulnerability type and source-code location. In this paper, we investigate how reported security vulnerabilities can be assessed in a realistic grey-box exploitation setting that leverages minimal vulnerability metadata, specifically a CWE classification and a vulnerable code location. We introduce Agentic eXploit Engine (AXE), a multi-agent framework for Web application exploitation that maps lightweight detection metadata to concrete exploits through decoupled planning, code exploration, and dynamic execution feedback. Evaluated on the CVE-Bench dataset, AXE achieves a 30% exploitation success rate, a 3x improvement over state-of-the-art black-box baselines. Even in a single-agent configuration, grey-box metadata yields a 1.75x performance gain. Systematic error analysis shows that most failed attempts arise from specific reasoning gaps, including misinterpreted vulnerability semantics and unmet execution preconditions. For successful exploits, AXE produces actionable, reproducible proof-of-concept artifacts, demonstrating its utility in streamlining Web vulnerability triage and remediation. We further evaluate AXE's generalizability through a case study on a recent real-world vulnerability not included in CVE-Bench.",Review academic findings for mitigation strategies.,http://arxiv.org/abs/2602.14345v2
101,MITRE ATT&CK,Brute Force - FTP (Patator),Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.,Use multi-factor authentication. Lock out accounts after a specified number of failed login attempts.,https://attack.mitre.org/techniques/T1110/
102,MITRE ATT&CK,Brute Force - SSH (Patator),Systematic guessing of SSH passwords using the Patator brute-force tool to gain unauthorized remote access.,Disable password authentication for SSH and enforce public key authentication.,https://attack.mitre.org/techniques/T1110/001/
103,MITRE CWE,DoS - Slowloris,"An attacker sends partial HTTP requests to a server, keeping connections open to exhaust the concurrent connection pool (Uncontrolled Resource Consumption).",Configure connection limits per IP address and lower the timeout limits for incomplete HTTP requests.,https://cwe.mitre.org/data/definitions/400.html
104,NIST NVD,DoS - Slowhttptest,"Application layer denial of service utilizing Slow HTTP GET/POST requests, similar to Slowloris, targeting Apache and Tomcat web servers.","Implement reverse proxies, Web Application Firewalls (WAF), and enforce strict HTTP request size limits.",https://nvd.nist.gov/vuln/detail/CVE-2007-6750
105,MITRE ATT&CK,DoS - Hulk,"HTTP Unbearable Load King (HULK) generates massive, obfuscated HTTP requests designed to bypass caching engines and exhaust server resources.",Implement HTTP rate limiting and anomalous traffic filtering at the network edge.,https://attack.mitre.org/techniques/T1498/001/
106,MITRE ATT&CK,DoS - GoldenEye,An HTTP Keep-Alive denial of service tool that exhausts server sockets by requesting multiple high-load resources simultaneously.,Disable HTTP Keep-Alive for suspected malicious IPs and implement aggressive TCP session timeouts.,https://attack.mitre.org/techniques/T1498/001/
107,NIST NVD,Heartbleed,A vulnerability in OpenSSL (CVE-2014-0160) that allows remote attackers to obtain sensitive information from process memory via crafted TLS heartbeat packets.,"Patch OpenSSL to version 1.0.1g or later, revoke existing SSL certificates, and force password resets.",https://nvd.nist.gov/vuln/detail/CVE-2014-0160
108,MITRE CWE,Web Attack - Brute Force,Improper restriction of excessive authentication attempts on web login portals.,"Implement CAPTCHA, temporary IP lockouts, and rate limiting on web login endpoints.",https://cwe.mitre.org/data/definitions/307.html
109,MITRE CWE,Web Attack - XSS,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').,"Sanitize all user input, implement context-aware output encoding, and use Content Security Policy (CSP) headers.",https://cwe.mitre.org/data/definitions/79.html
110,MITRE CWE,Web Attack - SQL Injection,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection').,Use Prepared Statements (parameterized queries) instead of concatenating strings to build database queries.,https://cwe.mitre.org/data/definitions/89.html
111,MITRE ATT&CK,Infiltration,Adversaries may gain access to a system by exploiting a public-facing application or tricking a user into downloading a malicious payload.,"Deploy EDR (Endpoint Detection and Response) solutions, patch public-facing software, and restrict lateral movement.",https://attack.mitre.org/techniques/T1190/
112,MITRE ATT&CK,Botnet (ARES),Compromised endpoints communicating over application layer protocols with a Command and Control (C2) server.,"Monitor for anomalous outbound traffic patterns, utilize DNS sinkholing, and deploy intrusion prevention systems (IPS).",https://attack.mitre.org/techniques/T1071/
113,MITRE ATT&CK,PortScan,Adversaries may attempt to get a listing of services listening on network ports to identify potential vectors for exploitation.,"Close unused ports, restrict management port access via VPNs or jump boxes, and monitor firewall drop logs.",https://attack.mitre.org/techniques/T1046/
114,MITRE ATT&CK,DDoS,"A distributed denial of service attack relying on multiple compromised nodes to exhaust network bandwidth (e.g., LOIC tool).","Deploy DDoS mitigation services (e.g., Cloudflare, AWS Shield) and implement BGP blackholing for targeted IP addresses.",https://attack.mitre.org/techniques/T1498/
115,MITRE CWE,CWE-1004: Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",Leverage the HttpOnly flag when setting a sensitive cookie in a response.,https://cwe.mitre.org/data/definitions/1004.html
116,MITRE CWE,CWE-1007: Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.", ,https://cwe.mitre.org/data/definitions/1007.html
117,MITRE CWE,CWE-102: Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.","The DTD or schema validation will not catch the duplicate occurrence of the same form name. To find the issue in the implementation, manual checks or automated static analysis could be applied to the xml configuration files.",https://cwe.mitre.org/data/definitions/102.html
118,MITRE CWE,CWE-1021: Improper Restriction of Rendered UI Layers or Frames,The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain.,"  This defense-in-depth technique can be used to prevent the improper usage of frames in web applications. It prioritizes the valid sources of data to be loaded into the application through the usage of declarative policies. Based on which implementation of Content Security Policy is in use, the developer should use the ""frame-ancestors"" directive or the ""frame-src"" directive to mitigate this weakness. Both directives allow for the placement of restrictions when it comes to allowing embedded content. In addition to frames or iframes as previously mentioned, the web application is expected to place restrictions on whether it is allowed to be rendered within objects, embed, or applet elements.",https://cwe.mitre.org/data/definitions/1021.html
119,MITRE CWE,CWE-1022: Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.",Specify in the design that any linked external document must not be granted access to the location object of the calling page.  ,https://cwe.mitre.org/data/definitions/1022.html
120,MITRE CWE,CWE-1023: Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1023.html
121,MITRE CWE,CWE-1024: Comparison of Incompatible Types,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1024.html
122,MITRE CWE,CWE-1025: Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1025.html
123,MITRE CWE,CWE-103: Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",Implement the validate() method and call super.validate() within that method.,https://cwe.mitre.org/data/definitions/103.html
124,MITRE CWE,CWE-1037: Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1037.html
125,MITRE CWE,CWE-1038: Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1038.html
126,MITRE CWE,CWE-1039: Inadequate Detection or Handling of Adversarial Input Perturbations in Automated Recognition Mechanism,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.","Algorithmic modifications such as model pruning or compression can help mitigate this weakness. Model pruning ensures that only weights that are most relevant to the task are used in the inference of incoming data and has shown resilience to adversarial perturbed data. Consider implementing adversarial training, a method that introduces adversarial examples into the training data to promote robustness of algorithm at inference time. Consider implementing model hardening to fortify the internal structure of the algorithm, including techniques such as regularization and optimization to desensitize algorithms to minor input perturbations and/or changes. Consider implementing multiple models or using model ensembling techniques to improve robustness of individual model weaknesses against adversarial input perturbations. Incorporate uncertainty estimations into the algorithm that trigger human intervention or secondary/fallback software when reached. This could be when inference predictions and confidence scores are abnormally high/low comparative to expected model performance. Reactive defenses such as input sanitization, defensive distillation, and input transformations can all be implemented before input data reaches the algorithm for inference. Consider reducing the output granularity of the inference/prediction such that attackers cannot gain additional information due to leakage in order to craft adversarially perturbed data.",https://cwe.mitre.org/data/definitions/1039.html
127,MITRE CWE,CWE-104: Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",Ensure that all forms extend one of the Validation Classes.,https://cwe.mitre.org/data/definitions/104.html
128,MITRE CWE,CWE-1041: Use of Redundant Code,"The product has multiple functions, methods, procedures, macros, etc. that 					contain the same code.",Merge common functionality into a single function and then call that function from across the entire code base.,https://cwe.mitre.org/data/definitions/1041.html
129,MITRE CWE,CWE-1042: Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in which 					its parent class element  					is not a singleton class - that is, a class element that can be used only once in 					the 'to' association of a Create action.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1042.html
130,MITRE CWE,CWE-1043: Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,The product uses a data element that has an excessively large 					number of sub-elements with non-primitive data types such as structures or aggregated objects.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1043.html
131,MITRE CWE,CWE-1044: Architecture with Number of Horizontal Layers Outside of Expected Range,The product's architecture contains too many - or too few - 					horizontal layers.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1044.html
132,MITRE CWE,CWE-1045: Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1045.html
133,MITRE CWE,CWE-1046: Creation of Immutable Text Using String Concatenation,The product creates an immutable text string using string concatenation operations.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1046.html
134,MITRE CWE,CWE-1047: Modules with Circular Dependencies,"The product contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1047.html
135,MITRE CWE,CWE-1048: Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that          contain an excessively large number of references to other          application objects external to the context of the callable,          i.e. a Fan-Out value that is excessively large.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1048.html
136,MITRE CWE,CWE-1049: Excessive Data Query Operations in a Large Data Table,The product performs a data query with a large number of joins 					and sub-queries on a large data table.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1049.html
137,MITRE CWE,CWE-105: Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.","Validate all form fields. If a field is unused, it is still important to constrain it so that it is empty or undefined.",https://cwe.mitre.org/data/definitions/105.html
138,MITRE CWE,CWE-1050: Excessive Platform Resource Consumption within a Loop,"The product has a loop body or loop condition that contains a control element that directly or 					indirectly consumes platform resources, e.g. messaging, sessions, locks, or file 					descriptors.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1050.html
139,MITRE CWE,CWE-1051: Initialization with Hard-Coded Network Resource Configuration Data,The product initializes data using hard-coded values that act as network resource identifiers.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1051.html
140,MITRE CWE,CWE-1052: Excessive Use of Hard-Coded Literals in Initialization,The product initializes a data element using a hard-coded 					literal that is not a simple integer or static constant element.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1052.html
141,MITRE CWE,CWE-1053: Missing Documentation for Design,The product does not have documentation that represents how it is designed.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1053.html
142,MITRE CWE,CWE-1054: Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that resides 					at a deeper layer than the adjacent layer, i.e., the invocation skips at least one 					layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1054.html
143,MITRE CWE,CWE-1055: Multiple Inheritance from Concrete Classes,The product contains a class with inheritance from more than 					one concrete class.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1055.html
144,MITRE CWE,CWE-1056: Invokable Control Element with Variadic Parameters,A named-callable or method control element has a signature that 					supports a variable (variadic) number of parameters or arguments.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1056.html
145,MITRE CWE,CWE-1057: Data Access Operations Outside of Expected Data Manager Component,"The product uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1057.html
146,MITRE CWE,CWE-1058: Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,The code contains a function or method that 		 operates in a multi-threaded environment but owns an unsafe non-final 		                     static storable or member data element.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1058.html
147,MITRE CWE,CWE-1059: Insufficient Technical Documentation,"The product does not contain sufficient          technical or engineering documentation (whether on paper or          in electronic form) that contains descriptions of all the          relevant software/hardware elements of the product, such as          its usage, structure, architectural components, interfaces, design, implementation,          configuration, operation, etc.",Ensure that design documentation is detailed enough to allow for post-manufacturing verification.,https://cwe.mitre.org/data/definitions/1059.html
148,MITRE CWE,CWE-106: Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",Use an input validation framework such as Struts. Use an input validation framework such as Struts.  ,https://cwe.mitre.org/data/definitions/106.html
149,MITRE CWE,CWE-1060: Excessive Number of Inefficient Server-Side Data Accesses,The product performs too many data queries without using efficient data processing functionality such as stored procedures.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1060.html
150,MITRE CWE,CWE-1061: Insufficient Encapsulation,"The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1061.html
151,MITRE CWE,CWE-1062: Parent Class with References to Child Class,"The code has a parent class that contains references to a child class, its methods, or its members.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1062.html
152,MITRE CWE,CWE-1063: Creation of Class Instance within a Static Code Block,A static code block creates an instance of a class.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1063.html
153,MITRE CWE,CWE-1064: Invokable Control Element with Signature Containing an Excessive Number of Parameters,"The product contains a function, subroutine, or method whose signature has an unnecessarily large number of 					parameters/arguments.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1064.html
154,MITRE CWE,CWE-1065: Runtime Resource Management Control Element in a Component Built to Run on Application Servers,"The product uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1065.html
155,MITRE CWE,CWE-1066: Missing Serialization Control Element,The product contains a serializable data element that does not 					have an associated serialization method.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1066.html
156,MITRE CWE,CWE-1067: Excessive Execution of Sequential Searches of Data Resource,The product contains a data query against an SQL table or view 					that is configured in a way that does not utilize an index and may cause 					sequential searches to be performed.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1067.html
157,MITRE CWE,CWE-1068: Inconsistency Between Implementation and Documented Design,The implementation of the product is not consistent with the 					design as described within the relevant documentation.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1068.html
158,MITRE CWE,CWE-1069: Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",For every exception block add code that handles the specific exception in the way intended by the application.,https://cwe.mitre.org/data/definitions/1069.html
159,MITRE CWE,CWE-107: Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,Remove the unused Validation Form from the validation.xml file.,https://cwe.mitre.org/data/definitions/107.html
160,MITRE CWE,CWE-1070: Serializable Data Element Containing non-Serializable Item Elements,"The product contains a serializable, storable data element such as a field or member, 					but the data element contains member elements that are not 					serializable.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1070.html
161,MITRE CWE,CWE-1071: Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1071.html
162,MITRE CWE,CWE-1072: Data Resource Access without Use of Connection Pooling,The product accesses a data resource through a database without using a 					connection pooling capability.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1072.html
163,MITRE CWE,CWE-1073: Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1073.html
164,MITRE CWE,CWE-1074: Class with Excessively Deep Inheritance,"A class has an inheritance level that is too high, i.e., it 					has a large number of parent classes.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1074.html
165,MITRE CWE,CWE-1075: Unconditional Control Flow Transfer outside of Switch Block,"The product performs unconditional control transfer (such as a 					""goto"") in code outside of a branching structure such as a switch 					block.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1075.html
166,MITRE CWE,CWE-1076: Insufficient Adherence to Expected Conventions,"The product's architecture, source code, design, documentation, 					or other artifact does not follow required conventions.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1076.html
167,MITRE CWE,CWE-1077: Floating Point Comparison with Incorrect Operator,"The code performs a comparison such as an         equality test between two float (floating point) values, but         it uses comparison operators that do not account for the         possibility of loss of precision.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1077.html
168,MITRE CWE,CWE-1078: Inappropriate Source Code Style or Formatting,"The source code does not follow 				desired style or formatting for indentation, white 				space, comments, etc.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1078.html
169,MITRE CWE,CWE-1079: Parent Class without Virtual Destructor Method,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1079.html
170,MITRE CWE,CWE-108: Struts: Unvalidated Action Form,Every Action Form must have a corresponding validation form.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/108.html
171,MITRE CWE,CWE-1080: Source Code File with Excessive Number of Lines of Code,A source code file has too many lines of 					code.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1080.html
172,MITRE CWE,CWE-1082: Class Instance Self Destruction Control Element,The code contains a class instance that calls the method or function to delete or destroy itself.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1082.html
173,MITRE CWE,CWE-1083: Data Access from Outside Expected Data Manager Component,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1083.html
174,MITRE CWE,CWE-1084: Invokable Control Element with Excessive File or Data Access Operations,A function or method contains too many 					operations that utilize a data manager or file resource.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1084.html
175,MITRE CWE,CWE-1085: Invokable Control Element with Excessive Volume of Commented-out Code,"A function, method, procedure, etc. contains an excessive amount of code that has been 					commented out within its body.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1085.html
176,MITRE CWE,CWE-1086: Class with Excessive Number of Child Classes,A class contains an unnecessarily large number of 					children.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1086.html
177,MITRE CWE,CWE-1087: Class with Virtual Method without a Virtual Destructor,"A class contains a virtual method, but the method does not have an associated virtual destructor.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1087.html
178,MITRE CWE,CWE-1088: Synchronous Access of Remote Resource without Timeout,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1088.html
179,MITRE CWE,CWE-1089: Large Data Table with Excessive Number of Indices,The product uses a large data table that contains an excessively large number of 					indices.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1089.html
180,MITRE CWE,CWE-109: Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",Ensure that an action form mapping enables validation. Set the validate field to true.,https://cwe.mitre.org/data/definitions/109.html
181,MITRE CWE,CWE-1090: Method Containing Access of a Member Element from Another Class,A method for a class performs an operation that directly 					accesses a member element from another class.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1090.html
182,MITRE CWE,CWE-1091: Use of Object without Invoking Destructor Method,The product contains a method that accesses an object but does not later invoke 					the element's associated finalize/destructor method.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1091.html
183,MITRE CWE,CWE-1092: Use of Same Invokable Control Element in Multiple Architectural Layers,The product uses the same control element across multiple 					architectural layers.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1092.html
184,MITRE CWE,CWE-1093: Excessively Complex Data Representation,The product uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1093.html
185,MITRE CWE,CWE-1094: Excessive Index Range Scan for a Data Resource,"The product contains an index range scan for a large data table, 					but the scan can cover a large number of rows.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1094.html
186,MITRE CWE,CWE-1095: Loop Condition Value Update within the Loop,The product uses a loop with a control flow condition based on 					a value that is updated within the body of the loop.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1095.html
187,MITRE CWE,CWE-1096: Singleton Class Instance Creation without Proper Locking or Synchronization,The product implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1096.html
188,MITRE CWE,CWE-1097: Persistent Storable Data Element without Associated Comparison Control Element,The product uses a storable data element that does not have 					all of the associated functions or methods that are necessary to support 					comparison.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1097.html
189,MITRE CWE,CWE-1098: Data Element containing Pointer Item without Proper Copy Control Element,The code contains a data element with a pointer that does not have an associated copy or constructor method.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1098.html
190,MITRE CWE,CWE-1099: Inconsistent Naming Conventions for Identifiers,"The product's code, documentation, or other artifacts do not 					consistently use the same naming conventions for variables, callables, groups of 					related callables, I/O capabilities, data types, file names, or similar types of 					elements.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1099.html
191,MITRE CWE,CWE-11: ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,Avoid releasing debug binaries into the production environment. Change the debug mode to false when the application is deployed into production.,https://cwe.mitre.org/data/definitions/11.html
192,MITRE CWE,CWE-110: Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/110.html
193,MITRE CWE,CWE-1100: Insufficient Isolation of System-Dependent Functions,The product or code does not isolate system-dependent 					functionality into separate standalone modules.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1100.html
194,MITRE CWE,CWE-1101: Reliance on Runtime Component in Generated Code,The product uses automatically-generated code that cannot be 					executed without a specific runtime support component.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1101.html
195,MITRE CWE,CWE-1102: Reliance on Machine-Dependent Data Representation,"The code uses a data representation that relies on low-level 					data representation or constructs that may vary across different processors, 					physical machines, OSes, or other physical components.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1102.html
196,MITRE CWE,CWE-1103: Use of Platform-Dependent Third Party Components,The product relies on third-party components that do 					not provide equivalent functionality across all desirable 					platforms.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1103.html
197,MITRE CWE,CWE-1104: Use of Unmaintained Third Party Components,The product relies on third-party components that are not 					actively supported or maintained by the original developer or a trusted proxy 					for the original developer.,Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1104.html
198,MITRE CWE,CWE-1105: Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, but 					it does not sufficiently encapsulate or isolate this functionality from 					the rest of the code.",Refer to official CWE documentation for specific mitigations.,https://cwe.mitre.org/data/definitions/1105.html
